iter	RMSE
180	109.0420289
181	107.9370437
182	106.6286429
183	105.5323551
184	104.2348642
185	103.2788821
186	102.2345538
187	101.2164967
188	100.2020196
189	99.41921621
190	98.26229279
191	97.39099655
192	96.24031959
193	95.40082968
194	94.65241444
195	93.7204616
196	92.64789064
197	91.98999988
198	91.10699304
199	90.29003122
200	89.25242296
201	88.38154368
202	87.55157944
203	86.87934889
204	86.1441423
205	85.35772589
206	84.69999488
207	84.06841387
208	83.40930016
209	82.62949899
210	81.85309139
211	81.12832001
212	80.377539
213	79.82388155
214	78.9750298
215	78.25226997
216	77.63234257
217	76.8989306
218	76.35957348
219	75.68280105
220	75.03082335
221	74.39786132
222	73.75525855
223	73.21579795
224	72.73696111
225	72.21427912
226	71.67616858
227	71.13173648
228	70.61843063
229	70.04122937
230	69.47499998
231	69.02307528
232	68.41307136
233	67.88959711
234	67.44782242
235	66.98131058
236	66.37884024
237	65.82027121
238	65.17840277
239	64.65180145
240	64.11347653
241	63.56467407
242	63.14741995
243	62.73714907
244	62.19248004
245	61.74185915
246	61.43641442
247	61.0265617
248	60.62831527
249	60.24065911
250	59.74001001
251	59.33248508
252	58.89145853
253	58.40645835
254	58.04461257
255	57.67050816
256	57.30064557
257	56.85009248
258	56.57633499
259	56.21427989
260	55.86548611
261	55.45184926
262	55.09825664
263	54.74869161
264	54.43354006
265	54.0075024
266	53.69666863
267	53.38372699
268	53.10363715
269	52.73828523
270	52.41855779
271	52.01883682
272	51.70000756
273	51.41289685
274	51.11146223
275	50.73280212
276	50.35611098
277	50.12434998
278	49.81387811
279	49.52176768
280	49.27922999
281	49.01303506
282	48.73016895
283	48.40546424
284	48.18624179
285	47.92718196
286	47.67077602
287	47.41226729
288	47.16926696
289	46.92256636
290	46.71329049
291	46.50563322
292	46.26006825
293	45.93948017
294	45.70774126
295	45.48931001
296	45.18414733
297	44.98642178
298	44.7902318
299	44.49404536
300	44.26706519
301	44.07572697
302	43.86971613
303	43.68399121
304	43.39700521
305	43.16052719
306	42.95034703
307	42.70093513
308	42.50519059
309	42.27336952
310	42.098033
311	41.90723934
312	41.73467697
313	41.56347542
314	41.36145522
315	41.18998208
316	40.9711222
317	40.75563082
318	40.56350499
319	40.39725063
320	40.14621532
321	39.96685453
322	39.75568515
323	39.49976223
324	39.31189329
325	39.1538886
326	38.99967945
327	38.82121572
328	38.61928049
329	38.46871532
330	38.31672558
331	38.07981755
332	37.89008542
333	37.74183414
334	37.59727742
335	37.4513503
336	37.2532239
337	37.11216577
338	36.96974006
339	36.82846029
340	36.6668737
341	36.44677487
342	36.30895237
343	36.17457876
344	36.03892993
345	35.88384826
346	35.70449871
347	35.5220142
348	35.37061101
349	35.19924376
350	35.07206942
351	34.94357643
352	34.77086372
353	34.60062101
354	34.45595722
355	34.28874186
356	34.14652105
357	33.98228652
358	33.84247034
359	33.67643366
360	33.53908459
361	33.40303518
362	33.24511814
363	33.12842196
364	33.01269324
365	32.88078259
366	32.69766311
367	32.56837792
368	32.44032741
369	32.27303512
370	32.14744101
371	32.03821684
372	31.86485864
373	31.76305386
374	31.61748766
375	31.45929011
376	31.29199365
377	31.21646316
378	31.11283234
379	30.99589421
380	30.83379497
381	30.76041905
382	30.66582764
383	30.55171217
384	30.45214961
385	30.34020151
386	30.24235004
387	30.13218193
388	30.02201892
389	29.93218283
390	29.82451989
391	29.73039434
392	29.64287828
393	29.55089538
394	29.4649986
395	29.36112293
396	29.2955161
397	29.19306444
398	29.0590385
399	28.95860334
400	28.85916769
401	28.76072265
402	28.66325936
403	28.52658452
404	28.39185974
405	28.29744534
406	28.17041016
407	28.10996955
408	28.05000552
409	27.92072985
410	27.83050371
411	27.75033581
412	27.67101781
413	27.61353416
414	27.55650806
415	27.46776163
416	27.37651387
417	27.32062108
418	27.23372383
419	27.15830341
420	27.08871799
421	27.00465231
422	26.92210779
423	26.83970984
424	26.76478422
425	26.69069937
426	26.62698019
427	26.54707034
428	26.46820891
429	26.40603701
430	26.34177161
431	26.26153243
432	26.18212404
433	26.10353856
434	26.02279269
435	25.94708386
436	25.84050783
437	25.78179245
438	25.70598701
439	25.62781624
440	25.52602881
441	25.47917277
442	25.40697454
443	25.35084942
444	25.29296762
445	25.2174394
446	25.16258181
447	25.08812923
448	25.01885213
449	24.95044155
450	24.89724138
451	24.82446803
452	24.77204213
453	24.70563304
454	24.65182808
455	24.5806207
456	24.51019811
457	24.44976112
458	24.40855805
459	24.33939366
460	24.28029227
461	24.23109976
462	24.17310615
463	24.11144154
464	24.04405492
465	23.98760284
466	23.92757954
467	23.88063506
468	23.83238673
469	23.78464776
470	23.73891565
471	23.67360197
472	23.59009422
473	23.54026841
474	23.49582679
475	23.43222947
476	23.35155783
477	23.29631013
478	23.24551247
479	23.1976277
480	23.15026803
481	23.1034277
482	23.04215473
483	22.99602444
484	22.9504006
485	22.90527767
486	22.86065018
487	22.81651269
488	22.77285985
489	22.71228783
490	22.669551
491	22.62714402
492	22.5684618
493	22.50597454
494	22.44817155
495	22.41102952
496	22.37424886
497	22.28800913
498	22.23193394
499	22.17174446
